Title,Link,PubDate,Content
"삼성전자 위기론…시총 한달새 90조 증발, 왜 이러나? [뉴스in뉴스] - KBS뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5Qeld0a2Q1MUw1WTFuTVdKU2UyYXU2blR6dTR1ODRhb0FaRGgyS1M4Q3hLZnZha0UzdzB1Rm54Y09NcVpQZmEzemdmLU1MblJteGswYlh1cS02Qk0?oc=5,"Tue, 24 Sep 2024 07:00:00 GMT","2024.10.16. 수요일 
서울
18.2℃
안개
 
부산
24.7℃
구름많음
 
울산
22.6℃
구름많음
 
창원
23.6℃
구름많음
 
진주
23.1℃
구름많음
 
대구
20.8℃
구름조금
 
안동
20.3℃
구름조금
 
포항
22.7℃
구름많음
 
광주
22.7℃
구름많음
 
목포
21.3℃
구름많음
 
순천
21.7℃
구름많음
 
전주
20.8℃
구름많음
 
대전
21.9℃
안개
 
청주
19.7℃
안개
 
충주
19.2℃
구름많음
 
춘천
19.8℃
맑음
 
강릉
21.8℃
구름많음
 
원주
19.9℃
구름조금
 
제주
24.7℃
구름많음
 
          삼성전자 위기론…시총 한달새 90조 증발, 왜 이러나? [뉴스in뉴스]
         어떤 기사를 찾으시나요? 추천 인기 키워드 
                현재 관심이 높아지고 있는 키워드 입니다.
               많이 본 뉴스 “재학이 이야기가 전 세계에 퍼지길”…위로 건넨 ‘노벨 문학상’ “또 주차 딱지 붙이면”…입주민 폭언에도 속수무책 다시 끊어진 남북 연결도로…‘남측 돈 1800억’ 날린 북, 향후 책임은? ‘북한판 NSC’ 열고 폭파까지…연일 긴장 고조, 의도는? 다섯 딸 키우는 소방관 아빠 ‘특별 승진’  “러, 북한군으로 대대급 조직”…“집단 탈영까지” 
 공지사항 
                        읽어주기 기능은 크롬기반의
                        브라우저에서만 사용하실 수 있습니다.
                      센스리더 사용자는 가상커서를 해제한 후동영상플레이어 단축키를 이용하세요.(가상커서 해제 단축키 : 컨트롤 + 쉬프트 + F12) 좌 / 우 방향키는 시간이 - 10 / +10로 이동되며,상 / 하 방향키는 음량이 + 5 / -5로 조절됩니다.스페이스 바를 누르시면 영상이 재생 / 중단 됩니다.  [이 시각 주요뉴스] 윤 대통령 “체코 원전 덤핑, 근거 없는 낭설” 외 올해만 8차례 땅꺼짐 사고…지하철 공사 탓?  우리나라를 대표하는 기업인 삼성전자가 요즘 술렁이는 분위기입니다. 주가가 급락하면서 어제까지 한 달새 시가총액이 90조원이나 줄었습니다. 과연 무엇이 문제인지  박대기 기자와 따져보겠습니다. 박기자 어제까지 나흘 연속 주가가 내렸는데 오늘 분위기는 어떤가요?  오늘은 장 초반 반등하기는 했습니다만 반등 폭은 크지 않습니다. 뉴욕증시에서 동종업체인 마이크론이 3% 상승한 것과 대조적인데, 3분기 실적이 기대를 밑돌 거라는 증권사 보고서가 영향을 준 것으로 보입니다.  주가 급락의 원인은 어떻게 분석되고 있습니까?  일차 원인은 반도체 경기입니다. '피크아웃', 즉 고점 이탈이라는 말이 나옵니다. 반도체 경기는 좋았다 나빴다를  반복하는데, 좋아졌던 경기가 연말쯤 끝날 거란 경고가 나왔기 때문입니다.  구글이 7월 말 2분기 실적 발표당시에 인공지능 수익화 시점에 대한 불확실성을 언급한 것에서 시작했습니다. 글로벌기업이 막대한 인공지능 투자를 하고 있었는데 언제 돈을 벌지 모르겠다, 주주 반발을 살 수도 있다는 분석이 나오니까 반도체 수요가 줄 거란 우려가 나온거죠. 이후에도 특히 우리나라의 삼성전자와 하이닉스에 직격탄이 된 것은 지난 15일 발표된 모건 스탠리의 보고서입니다.  예전에도 모건 스탠리가 한번 한국 반도체를 때린 적이 있는 거 같은데요?  3년 전에 '메모리의 겨울이 온다'는 보고서를 내서 삼성전자와 하이닉스 주가가 폭락했습니다. 실제로 그 이후 두 회사가 어려웠기 때문에 예측이 맞았다는 평가입니다. 이번에는 더 우울한 제목인데요.  ""겨울이 닥친다(winter looms)""라는 보고서입니다. 삼성전자와 하이닉스를 '비중축소' 즉, 팔라는 권고를 한 것인데요. 인공지능용 HBM의 공급이 과잉됐고, 스마트폰과 컴퓨터가 안 팔려서 D램 수요가 줄 것이라는 걸 이유로 내세웠습니다. 또, 중국의 창신메모리라는 업체가 공격적으로 생산량을 늘려서 D램 가격이 떨어질 거라는 점을 거론했습니다.  이 예측 이번에도 맞습니까?  보고서 나온 직후에 주가가 급락했으니 시장은 맞는다고 보는 것 같습니다. 다만 HBM 반도체는 주로 엔비디아가 만드는 인공지능 칩에 들어가는 메모리인데요. 이걸 미리 만들어놓고 공급하는 것이 아니라 주문 제작 방식입니다. 업계에서는 하이닉스 물량의 경우 내년 생산분까지 거의 주문이 끝나서 공급과잉이 아니라는 반론이 있습니다. 스마트폰이 잘 안팔리는 건 분명합니다. 하지만 반도체 업체들이 투자를 줄여놓은 상태기 때문에 재고량이 예전처럼 크게 늘어나진 않을 거라는 반론이 있습니다. 중국 업체의 추격에 대해서도 한국기업이 만드는 DDR5보다 이전 세대이고 인공지능을 쓰는 전자제품 판매가 늘어난다는 분석도 있기 때문에 반론도 만만치 않습니다.  말씀듣고보면 이번에는 모건스탠리가 틀릴 수도 있다는 반론도 일리가 있는데요. 그런데도 삼성전자 주가는 왜 이럴까요?  하이닉스는 상대적으로 덜 떨어졌습니다. 결국은 지금 시대의 총아인 인공지능 칩에 들어가는 HBM기술 격차가 여전한 것이 결정적으로 보입니다. 엔비디아에 언제쯤 본격적인 공급이 되는 것인지 투자자들은 의구심을 가지고 있습니다. 이제서야 HBM3E 8단 공급이 거론되는데, 경쟁업체들은 반 세대 앞선 12단 공급 이야기를 하고 있습니다. 또 하나는  삼성이 글로벌 빅테크 기업들이앞서나가고 있는 인공지능 혁신에 얼마만큼 참여를 하고 있느냐입니다. 네이버와 삼성전자는 인공지능 칩 '마하1'을 2년 전부터 공동개발했는데 최근 이걸 중단했습니다. 삼성이 살아남은 것은 과거 인터넷이나 스마트폰이 도입되던 거대한 기술변화의 흐름에 주요 부품을 공급하며 선도적으로 혁신을 이끌었기 때문인데요. 인공지능 혁명에는 발맞춰 혁신하는 모습이 없다는 점 때문에 비판에 직면해 있습니다.  K반도체에 대한 상반된 전망이 있는데 박기자는 어느 편인가요?  호재도 있습니다. 인공지능 영상 개발이 순조롭다면 사람들이 인공지능으로 만든 영상을 저장하고 공유하고 싶어할 것입니다.유튜브 처럼요.  그렇다면 저장공간이 필요하겠죠? 최근 그래서 한국기업들이 만드는 낸드 플래시메모리가 잘 팔리지 않을까 기대감이 있습니다. 반면 미국 대선은 불확실성 요인입니다. 그동안 미국만 급성장하다보니 누가 당선되든 간에 대선이 끝나면 경기 속도 조절을 하지 않겠느냐는 주장이 힘을 얻고 있습니다. 반도체 판매에는 악영향을 줄것입니다.  반도체 관련해서 나오는 어떤 뉴스에 주목해야 할까요?  3분기 실적의 시즌이 돌아왔습니다. 27일 3위업체 마이크론의 실적발표부터, 다음달 초 삼성전자의 실적 발표를 보면 실제로 겨울이 닥쳤는지 확인이 가능할 것입니다.

        

        
     
박대기 기자
waiting@kbs.co.kr
 좋아요 6 응원해요 1 후속 원해요 0 실시간 뜨거운 관심을 받고 있는 뉴스 내년부터 달라지는 육아휴직 Q&A…“인상된 급여, 언제부터?” “재학이 이야기가 전 세계에 퍼지길”…위로 건넨 ‘노벨 문학상’ 홍명보 호가 젊어졌다, 오세훈·오현규·배준호 영건 3인방 이라크전 승리 합작 “하니가 긴장했길래”…셀카 찍은 사장님의 황당 해명 “또 주차 딱지 붙이면”…입주민 폭언에도 속수무책 “열흘 쉰다”…추석 1년 남았는데 항공권 예약 전쟁 [영상] 다시 워싱턴에 온 판다 [영상] ‘불법촬영’ 혐의 황의조에 징역 4년 구형…재판중 목메이기도 
            인공지능이 연관 기사를 추천합니다.
         [사사건건] 홍명보 선임 집중 추궁 [월드 이슈] 중국 버리고 미국 선택…UAE의 ‘AI 야심’ 기회? 비행 중 기장 사망…터키 항공 여객기, 뉴욕 공항 비상착륙 공장서 외국인 노동자 기계에 끼어 숨져…“중대재해 적용 대상” 9월 취업자 수 14만 4천 명 증가…건설업 역대 최대 폭↓ 국민의힘 “기호 2번 일꾼에 한 표를”…재보선 당일 투표 독려 이재명 “투표 포기는 주권 포기”…“검찰 인력 줄이고 공수처는 늘려야” 미 “북한, 긴장 완화 촉구”…중국·러시아 미묘한 입장차 
                    각 플랫폼에서 최근 1시간 동안 많이 본 KBS 기사를
                    제공합니다.
                 “재학이 이야기가 전 세계에 퍼지길”…위로 건넨 ‘노벨 문학상’ “또 주차 딱지 붙이면”…입주민 폭언에도 속수무책 다시 끊어진 남북 연결도로…‘남측 돈 1800억’ 날린 북, 향후 책임은? ‘북한판 NSC’ 열고 폭파까지…연일 긴장 고조, 의도는? 다섯 딸 키우는 소방관 아빠 ‘특별 승진’  “러, 북한군으로 대대급 조직”…“집단 탈영까지” 
                    각 플랫폼에서 최근 1시간 동안 많이 본 KBS 기사를
                    제공합니다.
                 “하니가 긴장했길래”…셀카 찍은 사장님의 황당 해명 [잇슈 키워드] “러, 북한군으로 대대급 조직”…“집단 탈영까지” “재학이 이야기가 전 세계에 퍼지길”…위로 건넨 ‘노벨 문학상’ 내년부터 달라지는 육아휴직 Q&A…“인상된 급여, 언제부터?” “또 주차 딱지 붙이면”…입주민 폭언에도 속수무책 9월 취업자 수 14만 4천 명 증가…건설업 역대 최대 폭↓ 준비중입니다. “하니가 긴장했길래”…셀카 찍은 사장님의 황당 해명 [잇슈 키워드] “러, 북한군으로 대대급 조직”…“집단 탈영까지” “재학이 이야기가 전 세계에 퍼지길”…위로 건넨 ‘노벨 문학상’ 내년부터 달라지는 육아휴직 Q&A…“인상된 급여, 언제부터?” “또 주차 딱지 붙이면”…입주민 폭언에도 속수무책 9월 취업자 수 14만 4천 명 증가…건설업 역대 최대 폭↓ 
                    각 플랫폼에서 최근 1시간 동안 많이 본 KBS 기사를
                    제공합니다.
                 “러, 북한군으로 대대급 조직”…“집단 탈영까지” / KBS  2024.10.16. [🔴LIVE] 뉴스광장 : 오늘 재보선…“민생 선거” vs “정권 심판” - 10월 16일(수) / KBS [이슈] ""AI 로봇 '옵티머스' 사람이 조종"" 또 의혹, 휴머노이드 세상 곧 올까?/2024년 10월 15일(화)/KBS [🔴현장] 오세훈·오현규·배준호 3인방 합작…축구대표팀 이라크 꺾고 3연승/월드컵 본선행 청신호…경기 후 인터뷰/2024년 10월 16일(수)/KBS [날씨] 내일(16일) 오전까지 짙은 안개, 강원 영동 비 [9시 뉴스] / KBS  2024.10.15. ‘북한판 NSC’ 열고 폭파까지…연일 긴장 고조, 의도는? / KBS  2024.10.16. 공지사항 Copyright ⓒ KBS. All rights reserved. 무단 전재, 재배포 및 이용(AI 학습 포함) 금지 공유하기 요약내용  
            요약 내용은 네이버 CLOVA Summary를 통해 제공하고 있습니다.
            기사의 내용을 올바르게 이해하기 위해서는 본문을 함께 읽어야 합니다.
         동영상 퍼가기  
                KBS 뉴스 사이트 동영상을 퍼가면 KBS 뉴스의 서비스
                이용정책에 동의하는 것으로 간주합니다.
            "
삼성전자 반도체 공식 사이트 | 삼성전자 DS부문 | 삼성반도체 - Samsung Semiconductor,https://news.google.com/rss/articles/CBMiTkFVX3lxTE1BbzZQOE1tNFA1UkdrazduYmUxeEpmWkhBczRGUmhnaUdBZUUxVmZXVXkzN1V5NlZYVTNvenE0TXZucHdicWhtRG5xdy12UQ?oc=5,"Tue, 25 Jan 2022 15:28:31 GMT","

Click here to learn more about Samsung Foundry Forum & SAFE™.
Click here to learn more about Samsung Foundry Forum & SAFE™.
Click here to learn more about Samsung Foundry Forum.
Samsung Foundry Forum 더 알아보려면 여기를 클릭하세요 
Samsung Foundry Forum についての詳細はここをクリックして下さい
点击这里了解更多关于 Samsung Foundry Forum & SAFE™
 이번 이벤트는 끝났습니다. SFF&SAFE™ 포럼 2024에 함께해 주셔서 감사합니다. 이번 이벤트는 끝났습니다. SFF&SAFE™ 포럼 2024에 함께해 주셔서 감사합니다. 이번 이벤트는 끝났습니다. SFF&SAFE™ 포럼 2024에 함께해 주셔서 감사합니다. 뉴스 뉴스 뉴스 뉴스 테크 블로그 
                                엑시노스 2400
                             
                                외장 SSD T9
                             
                                LPCAMM2
                             
                                GDDR7
                             
                                990 PRO
                             
                                아이소셀 HP9
                             
                                초고화소 이미지센서
                             
                                오토모티브
                             
                                게이밍 스토리지
                             
                                초미세 픽셀 기술
                             
                                인공지능
                             
                                EUV
                             
 
 
                                    채용
                                 
                                    환경 보전
                                 
                                    친환경 반도체 기술
                                 
          Copyright© 2024 Samsung. All rights reserved.
         
						If you want a quick solution, check out FAQ or Global Network first.
					 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 * Find help about consumer storage product at samsung.com support. Business customer Technical support DRAM Component EU / UK Product Spec Client 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 이 필드는 필수입니다 Please, Check""I'm not a robot"" 
					  
						이 사이트는 쿠키를 사용해서 사용자 경험을 맞춤화하고 사이트 트래픽을 분석합니다. 동의를 클릭하거나 사이트를 계속 탐색함으로써 쿠키 사용에 동의합니다. 
						
						자세한 내용은 개인정보 보호 정책 및 쿠키 정책을 참고하세요.
					  
					  
					 We use cookies to improve you experience on our website and to show you experience on our website and to show you relevant advertising, manage your settings for our cookies below. These cookies are essential as they enable you to move around the website. This category cannot be disabled. These cookies collect information about how you use our website, for example which pages you visit most often. All information these cookies collect is used to improve how the website works. These cookies allow our website to remember choices you make (such as your user name, language or the region you are in) and tailor the website to provide enhanced features and content for you. These cookies gather information about your browser habits. They remember that you've visited our website and share this information with other organizations such as advertisers. Cookies are small files that store information on your computer, TV, mobile phone, or other device. They enable the entity that put the cookie on your device to recognize you across different websites, services, devices, and/or browsing sessions."
왜 삼성전자만 홀로 춥다 할까…‘어닝 쇼크’에 뒤따르는 질문들 - 한겨레,https://news.google.com/rss/articles/CBMiakFVX3lxTE5Mbm5mNXdRM0NWc0VzZWVYYTBqWmY0RS1xeUpUX0M1QVlJQTJvZHdxOUZJTUZRLXRaR1pfel9XYWRpR3VFeGFsbG5KcFNRaHlmTHFLM09TSHJmejFOOXpBUk5DWEp3QzJvNXc?oc=5,"Wed, 09 Oct 2024 23:13:00 GMT","삼성전자는 지난 8일 올 3분기 잠정실적으로 매출 79조원, 영업이익 9조1천억원을 발표했다. 매출은 전 분기보다 7% 늘어났고 영업이익은 13% 줄었는데, 전영현 삼성전자 반도체(DS)부문장(부회장)은 “시장의 기대에 미치지 못하는 성과”라며 “송구하다”고 발표했다. 지난 2023년 반도체 부문에서만 14조9천억원의 ‘역대급’ 적자를 냈을 때도 내지 않았던 사과문을, 왜 2024년 10월 삼성전자는 내놓았을까. 삼성전자만 반도체 겨울…아킬레스건 ‘황금알’ HBM 전영현 부회장이 내놓은 사과문에 답이 있다. ‘고객과 투자자, 그리고 임직원 여러분께 말씀드린다’로 시작하는 글은 삼성전자가 처한 상황에 대한 내부 진단이 드러난다. 전 부회장이 위기 극복을 위한 첫번째 해법으로 말한 것은 “기술의 근원적 경쟁력을 복원하겠다”는 것이었다. 제품을 직접적으로 언급하지 않았지만, 인공지능 칩에 들어가는 고대역폭메모리(HBM·에이치비엠) 분야에서 뒤쳐졌다는 뼈아픈 자책으로 보인다. 에이치비엠은 지난해 인공지능 열풍이 불면서 갑자기 각광을 받기 시작했다. 지난해초만 해도 수요 급감으로 인해 감산까지 강요받는 ‘혹한’과 마주했던 반도체 업계는 에이치비엠 수요 급증과 이로 인한 메모리반도체 가격 상승으로 인해 올해 완연한 회복세로 돌아섰다. 그동안 엔비디아와 협업하며 에이치비엠 기술을 개발해온 에스케이(SK)하이닉스는 이에 힘입어 흑자로 돌아섰고 지난 2분기 영업이익은 반도체 초호황기였던 2018년 이후 6년 만에 5조원대에 진입하는 등 가파른 실적 개선세를 이어가고 있다. 하이닉스는 7세대 그래픽 디램(GDDR7) 양산 소식도 삼성 보다 앞서 알렸다. 반면 삼성전자는 뒤떨어진 에이치비엠 기술력을 끌어올리겠다고 했지만, 여전히 엔비디아의 품질 테스트를 통과했다는 공식 발표를 하지 않고 있다. 이처럼 시장에서 삼성전자의 기술력에 대해 고개를 갸웃하는 상황에서 삼성전자가 올 3분기에 후퇴한 영업이익 실적을 내놓은 것이다. 노근창 현대차증권 리서치센터장은 8일 “반도체의 겨울은 아니지만 삼성전자의 겨울은 이미 우리가 경험하고 있다”면서 5세대 에이치비엠(HBM3E)의 엔비디아 승인 지연을 삼성전자 주가 부진의 주요한 이유로 들었다. 더 큰 문제는 삼성전자가 에이치비엠 기술력에 문제가 있다는 것은 인식하고도 따라잡지 못하는 것에 있다. 앞서 엔비디아의 젠슨 황 최고경영자(CEO)는 지난 6월 삼성전자 에이치비엠에 대해 “(아직 검증 절차가) 끝나지 않았을 뿐”이라며 “빨리 끝났으면 좋겠지만 아직 안 끝났다”고 말했다. 엔비디아 역시 인공지능 칩의 수요 보다 공급이 달리는 상황에서 삼성 에이치비엠이 공급되는 것은 환영할 만한 일이다. 그러나 그 이후 넉달이 지났지만 엔비디아에서 중국으로 수출하는 인공지능 칩에만 삼성 에이치비엠이 탑재된다는 보도가 나올 뿐이다. 미국 정부는 첨단 반도체 제품이 중국으로 수출되는 것을 막고 있다. 노근창 리서치센터장은 “삼성전자가 반전을 일으키려면 2026년 후반부터 생성된 하이브리드 본딩 기반의 에이치비엠4에서 반전의 계기를 마련하는 것이 현실적일 것”이라고 했다. 메모리 반도체 분야에서 2010년대 후반 ‘초격차’를 달성했다고 한 삼성전자가 이제 빠른 추격(패스트 팔로우)도 쉽지 않다는 지적이다. 파운드리 열세…결국 분사할까? 30년 가까이 메모리반도체 분야 1위인 삼성전자의 다음 목표는 이른바 ‘비메모리’로 불리는 파운드리(반도체 위탁생산)와 시스템엘에스아이(LSI) 분야로 진군하는 것이었다. 메모리반도체 시장은 전방 산업인 전자제품의 수요 등에 따라 주기적으로 호황과 불황을 반복하는데, 삼성전자는 불황기 위험을 줄이기 위해 상대적으로 수요가 안정적인 비메모리 분야로 진출했다. 스마트폰의 두뇌 역할을 하는 AP(애플리케이션 프로세서)의 중요성이 커지는 등 고성능 시스템반도체 시장이 커지고 있었다. 삼성전자로서는 이전과 크게 다른 시장에 진입한 셈이었다. 대규모 투자와 공정 혁신으로 메모리반도체 분야를 휩쓸었던 삼성이 이제 개별 팹리스(반도체 설계업체)의 주문을 수행해야 하는 협업이 중요해진 것이다. 게다가 위탁 생산을 맡기면 자신의 기술이 삼성으로 흘러갈 수 있다는 팹리스의 의구심도 해소해야 했다. 삼성은 지난 6월 연 파운드리포럼에서 기술력을 강조하기 보다 고객친화적인 원스톱서비스를 제공하겠다는 전략을 내놓기도 했다. 하지만 현재 삼성전자 파운드리에는 큰 물량을 맡기는 고객이 없는 것으로 알려져있다. 시설투자와 장비반입을 미루는 등 자구책 마련에 나서고 있다. 반면 파운드리 1위 업체인 대만의 티에스엠시(TSMC)는 애플과 엔비디아를 고객으로 두고 있다. 웨이저자 티에스엠시 회장은 올 2분기에 시장 예상치를 웃도는 실적을 발표한 뒤 “수요가 너무 많아 이를 충족시키기 위해 매우 열심히 노력하고 있다”고 말했다. 시장에선 삼성전자가 파운드리를 분사하는 등의 조처가 필요하다는 분석도 나온다. 초미세공정에 필요한 극자외선(EUV)노광장비의 가격이 한대당 수천억원에 이르는 등 연구개발과 설비투자에 대규모 투자를 필요한 파운드리를 살리기 위해선 고객과 경쟁하지 않는 티에스엠시처럼 보여질 필요가 있다는 것이다. 그러나 이재용 삼성전자 회장은 지난 7일 필리핀을 방문하던 중 실적 부진을 겪는 파운드리와 시스템엘에스아이 사업과 관련해 질문을 받자 “(이들 사업을) 분사하는 데는 관심이 없다”고 말했다. 전영현 부회장은 사과문에서 “가진 것을 지키려는 수성 마인드가 아닌 더 높은 목표를 향해 질주하는 도전 정신으로 재무장하겠다”고 했고 “조직문화와 일하는 방법을 다시 들여다보겠다”고 했다. 큰 폭의 인사 등 관료화되었다고 비판받는 삼성전자의 조직 문화를 바꾸려는 조처가 예고됐다. 다만 눈에 보이지 않는 ‘정신력’에 대해서는 말했지만, 사업부와 사업지원 티에프(TF)간 관계 등 눈에 보이는 삼성 내 ‘복잡한 구조’에 대해선 언급하지 않았다. 이완 기자 wani@hani.co.kr "
[사설] 우리가 알던 그 ‘삼성전자’ 어디로 갔나 - 조선일보,https://news.google.com/rss/articles/CBMihgFBVV95cUxPMmpmNEZRYnNFT0R6eWt1R0pHbVFxYXMwLVJrcmlBLWVteGUzZHNDWlJRMzVvM0tpSTZZNlNnRVdmWm9tMHlTXy1GUmdyMERNU0Y3N3hXeDc1dnF4RUh1UkpxcnVUNndvOHNGb2JuYVJNR1VOYzZZeHZQMDMyZjB0VS1IeDA5UdIBmgFBVV95cUxOajdfOENRdkotX3M5UGFUY1dOMGE0a0F5d3FGSy1idVRCYWxpY3Vya014WWw4ZEtndGtxN3NhS2E5Y0JwQ3ROQVo3X2R2ODZOUlB5bmRjaDM3WDBKRlBNTThtcWMxYVQxYmpyQlZvZ0Z0dHU4Rl82ZHNoMC1IcS1TZEJibEhjYVhxUjJUR1FuNkhHaktucFR0R3RB?oc=5,"Thu, 10 Oct 2024 07:00:00 GMT",Failed to retrieve content.
삼성전자 반도체의 재생에너지 - Samsung Semiconductor,https://news.google.com/rss/articles/CBMisgFBVV95cUxQWm5hMnJqZm5oREdwR2pab2VHYW40ZzFqVURFblJQaWx6RmFXXzBtVnIzSzYxS2g3ek94TElTSlZDWEkzekxBdVd0YkxPZjlXdVM0am9acjJWZ0JoTWRneEFBNkZtdkhoRzZ1RGNrSzBPejh0QmtJcklPdi05enlndWg5Nm5nLTVsWWwxaDFySGdzejFOVU54clFYV0VKQ3Y0YmFKVVNiYzhCb0pXalFBSVhn?oc=5,"Tue, 25 Jan 2022 15:29:57 GMT",Failed to retrieve content.
거품 낀 벤처처럼 와르르…삼성전자 주가는 왜 파랗게 질렸나? - 한겨레,https://news.google.com/rss/articles/CBMickFVX3lxTFAzS1g2dk5DdGxiNGdhdmhmTVo4cXRsQUdwZ0NHR2tHSExJb3lwU1JhQ3gtZUxJMUF0SUtUUUlKUlhhMklCTGRuZllWRW1DTUJ0M0g1WGJ1ajNnQWl2U01OS3U2RUFJai13MGFCN3V5N1lxUQ?oc=5,"Thu, 19 Sep 2024 07:00:00 GMT",Failed to retrieve content.
"삼성전자, 업계 최고 성능∙최대 용량 PC용 SSD PM9E1 양산 - Samsung Semiconductor",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNMWI3SWpWTHFMN0EzSkMwekZDVW1XSjU2SmJHdEhzWjRfT1RxV1lyNHNxSExmeW11X2loSW8xcS0zTlhTaEpMYjZoWkplX24zM0FUaHRpT3RqcTB1UkpSTmRZNUxZZzlUcmZaMTdnelZ1aDdUVUZpZGl4dUlTOEg3dWdjczJucWlBZ3c1X0Fudklhc1pNMVBmaHpQeXJjUUxwa0RIWWkwLWxEVEREalNnS3dYVmJDX3ZMN2RmTW03MG1STklSaVotaWtvdlViRWRySTBPaTdCaTFHd0RoUkozNw?oc=5,"Fri, 04 Oct 2024 07:00:00 GMT",Failed to retrieve content.
"삼성전자, 스마트싱스 생태계 확장 위해 현대자동차그룹과 전략적 협업 추진 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMixAJBVV95cUxNUnBxQUcybVR5QzJ3eXZNeEZNOXFDX0dOM2xUMVBJRDhpQkZId0JBNnNoVzd2QWJtRkFYeDVEYlhyWHRWUzM5WHFScTVOelg4TjVTWU8yc0p1cG5MdjlLOXU0SkFOVHV6YmdIZWQ2b3ppNldDS2dhT3ltbW9oaUxvZFNfZVVUS2REcHpiTEtFdEVvVi15WTd6RjRaN1RTSzQxWm13b1d3UzFQUFU2eUppSzlmRzZwMUVzM25idTdZMDljZC1JdGNMVVVRNFJGU1liWWM3MmhVWnZBTEdYOTBtVjBBci1IUkI3dzlyMzd4YTFaZmw5ZWlrOWxVcXRMZG1scVI5TXd3ZUpmNlJQdzVxVk1EdWY4aXhGc1BNa2lBbE84cl9oX1pXOGczNDYyamhJLTJxUGluaTdYQ19kbGtIaTZYeTE?oc=5,"Wed, 25 Sep 2024 07:00:00 GMT",Failed to retrieve content.
"삼성전자, ‘모두를 위한 AI’ 내세우며 IFA 2024 프레스 컨퍼런스 개최 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMivAJBVV95cUxNbnF3R29KQzNEUThXZW9TNTZCZnF5S2dpaU5URGJHczRpbXpSRmRwS0FEQllXekpDdTF2anFVcVpBbUNXMVNLaEphcW4zOUduanZfM0tQN25lQ2M5LTN1OWxhdmNyTmVaSFRQM1c2ejU0YXB5TU5SN2NUTnNUcFR2ZGV1VU55Uzg0cU40UFBnZXdvNzRMVmViQ1lNTDJzYVFwZ05iT1ZRMFVjcG04RUlmeldZZktiazVoQms2TERSMkdrQWZKRU9TWFF5V1U5b3ZFNW5hX2tyTG5VRGhPNG5WUjRlU3JkTXN5Z002aHNQX1NhTEM2djN4azhFbFdIdVg1SGdSa1dOTGo0N3VBRFl5WFJuWkJmVGxSazlHWlpDcldxaHhiLUgzOGt6Z1lHZTBWVjVxQmNydDRmTGhD?oc=5,"Thu, 05 Sep 2024 07:00:00 GMT",Failed to retrieve content.
"삼성전자, ‘AI 가전’ 150만 대 판매 돌파 - Samsung Newsroom Korea",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQQWQ1VHB4ODdKUGpkT0xoTENMczlFOTdoeUVuUXBsT3NtOEo2QUFMZ0J0Y1hHcHRxRzBpdlFyUTRtd3dneUpaWjQ1NWFuNTc3NmpaOXBSa2twMkJ3eEJ1c1JuTmliSmJxOW1sSVVwVkRZMWJ6YWNkbFQ0NUJ2UFo0VEFsNE5KTkZkeWRkdURxS09hQWdISHhvdjZTWnJSUU1sNk5hdXAzRXBrNFI0Ri1taHc2ald3U194VnVyUzdMenFPMUJKWGVpQlRIZ2pMbHZ6STdlYVpBc255S1o3clNRMg?oc=5,"Thu, 15 Aug 2024 07:00:00 GMT",Failed to retrieve content.
